block_index,mode,lam,winner_id,block_time_ticks,fork,n_competing,f_winner,f_reference,f_optimum_est,total_hash_attempts,total_aco_iterations,p0,label
0,sha_pow,0.0,23,30,False,1,4.261220393619304,4.261220393619304,4.261220393619304,11790.632393266887,0.0,0.0002,sha_pow
1,sha_pow,0.0,24,17,False,1,4.557957683769722,4.557957683769722,4.557957683769722,6846.173647703382,0.0,0.0002,sha_pow
2,sha_pow,0.0,16,6,False,1,4.653333031142296,4.653333031142296,4.653333031142296,2662.4008629957557,0.0,0.0002,sha_pow
3,sha_pow,0.0,5,8,False,1,4.358620308736969,4.358620308736969,4.358620308736969,3423.086823851684,0.0,0.0002,sha_pow
4,sha_pow,0.0,9,38,False,1,4.526932166067279,4.526932166067279,4.526932166067279,14970.975373694808,0.0,0.0002,sha_pow
5,sha_pow,0.0,27,5,False,1,3.6061831485435,3.6061831485435,3.6061831485435,2282.0578825677917,0.0,0.0002,sha_pow
6,sha_pow,0.0,4,13,False,1,4.0864449521687565,4.0864449521687565,4.0864449521687565,5324.801725991514,0.0,0.0002,sha_pow
7,sha_pow,0.0,1,7,True,2,3.978961921428417,3.978961921428417,3.978961921428417,3042.7438434237215,0.0,0.0002,sha_pow
8,sha_pow,0.0,16,9,False,1,3.721691558382986,3.721691558382986,3.721691558382986,3803.4298042796504,0.0,0.0002,sha_pow
9,sha_pow,0.0,7,7,False,1,3.0910119857248413,3.0910119857248413,3.0910119857248413,3042.7438434237206,0.0,0.0001866666666666667,sha_pow
10,sha_pow,0.0,5,27,False,1,4.779231354986969,4.779231354986969,4.779231354986969,10649.60345198301,0.0,0.0001866666666666667,sha_pow
11,sha_pow,0.0,10,13,False,1,3.282610465726166,3.282610465726166,3.282610465726166,5324.801725991515,0.0,0.0001866666666666667,sha_pow
12,sha_pow,0.0,5,7,False,1,4.743328202228541,4.743328202228541,4.743328202228541,3042.743843423721,0.0,0.0001866666666666667,sha_pow
13,sha_pow,0.0,14,10,True,2,2.9358860242632137,2.9358860242632137,2.9358860242632137,4183.772784707614,0.0,0.0001866666666666667,sha_pow
14,sha_pow,0.0,5,40,False,1,3.4431885835169593,3.4431885835169593,3.4431885835169593,15370.975373694806,0.0,0.0001866666666666667,sha_pow
15,sha_pow,0.0,1,10,True,2,3.767869721263032,3.767869721263032,3.767869721263032,4183.772784707614,0.0,0.0001866666666666667,sha_pow
16,sha_pow,0.0,23,2,False,1,4.494642543013388,4.494642543013388,4.494642543013388,1141.0289412838968,0.0,0.0001866666666666667,sha_pow
17,sha_pow,0.0,15,8,False,1,5.235053620590967,5.235053620590967,5.235053620590967,3423.0868238516846,0.0,0.0001866666666666667,sha_pow
18,sha_pow,0.0,12,7,False,1,4.06451135541938,4.06451135541938,4.06451135541938,3042.743843423721,0.0,0.0001866666666666667,sha_pow
19,sha_pow,0.0,5,6,True,2,3.565562667999783,3.565562667999783,3.565562667999783,2662.4008629957566,0.0,0.0001617777777777778,sha_pow
20,sha_pow,0.0,5,40,False,1,4.95891750133866,4.95891750133866,4.95891750133866,15370.975373694804,0.0,0.0001617777777777778,sha_pow
21,sha_pow,0.0,11,3,True,2,3.8623400330060553,3.8623400330060553,3.8623400330060553,1141.0289412838963,0.0,0.0001617777777777778,sha_pow
22,sha_pow,0.0,5,8,False,1,4.6778655949578445,4.6778655949578445,4.6778655949578445,3423.086823851686,0.0,0.0001617777777777778,sha_pow
23,sha_pow,0.0,18,12,False,1,3.6164905341473954,3.6164905341473954,3.6164905341473954,4944.458745563549,0.0,0.0001617777777777778,sha_pow
24,sha_pow,0.0,10,2,False,1,4.1886941245137805,4.1886941245137805,4.1886941245137805,1141.0289412838968,0.0,0.0001617777777777778,sha_pow
25,sha_pow,0.0,12,33,False,1,4.709777046939744,4.709777046939744,4.709777046939744,12970.975373694839,0.0,0.0001617777777777778,sha_pow
26,sha_pow,0.0,5,3,False,1,4.1901429580907115,4.1901429580907115,4.1901429580907115,1521.3719217118617,0.0,0.0001617777777777778,sha_pow
