mode,lambda,n_blocks,fork_rate,mean_block_time,block_time_cv,gini_rewards,gini_hashrate,gini_excess,strategic_hashrate_share,strategic_reward_share,strategic_advantage,total_hash_attempts,total_aco_iterations,total_energy_proxy,useful_improvement_total,useful_improvement_per_joule,mean_convergence_ratio,t_opt_frac,search_fraction,condition
sha_pow,0.0,20,0.1,16.7,0.600721789854065,0.6849999999999999,0.3976858991409906,0.2873141008590093,0.24927706019420506,0.1,0.4011600582985562,139999.9999999998,0.0,139999.9999999998,0.0,0.0,1.0,1.02,0.0,sha_pow
pure_poao,0.0,20,1.0,1.65,0.29658211207854124,0.735,0.3976858991409906,0.33731410085900937,0.24927706019420506,0.1,0.4011600582985562,0.0,800.0,1336880.0,4.886169896757519,3.654905374272574e-06,0.9378964930338993,1.02,1.0,pure_poao
hybrid,3.0,20,0.1,19.05,0.49316049115908606,0.545,0.3976858991409906,0.14731410085900942,0.24927706019420506,0.15,0.6017400874478342,73676.5553837854,2758.000000000005,4682570.355383794,5.790800208026287,1.2366712656796078e-06,0.9282594958322157,1.02,0.35,hybrid(sf=0.35)
hybrid,3.0,20,0.0,17.0,0.6463548098038877,0.6849999999999999,0.3976858991409906,0.2873141008590093,0.24927706019420506,0.2,0.8023201165971124,45935.286088429966,4235.9999999999945,7124714.886088421,6.259865955611469,8.786128365409206e-07,0.9192175167755232,1.02,0.6,hybrid(sf=0.6)
hybrid,3.0,20,0.0,26.15,0.2374488894172512,0.6900000000000001,0.3976858991409906,0.29231410085900944,0.24927706019420506,0.25,1.0029001457463904,29196.0651076091,9010.000000000011,15085807.065107625,8.447467745615349,5.599612741404951e-07,0.892763080078671,1.02,0.85,hybrid(sf=0.85)
sha_pow,0.0,20,0.1,16.7,0.600721789854065,0.6849999999999999,0.3976858991409906,0.2873141008590093,0.24927706019420506,0.1,0.4011600582985562,139999.9999999998,0.0,139999.9999999998,0.0,0.0,1.0,1.05,0.0,sha_pow
pure_poao,0.0,20,1.0,1.65,0.29658211207854124,0.61,0.3976858991409906,0.21231410085900937,0.24927706019420506,0.2,0.8023201165971124,0.0,800.0,1336880.0,4.446327271258426,3.3258985632655327e-06,0.9538779657377257,1.05,1.0,pure_poao
hybrid,3.0,20,0.05,15.7,0.6664630758467125,0.77,0.3976858991409906,0.3723141008590094,0.24927706019420506,0.25,1.0029001457463904,65105.24081225455,2310.0000000000045,3925346.240812262,7.503302906008979,1.911500908632289e-06,0.9145544208820631,1.05,0.35,hybrid(sf=0.35)
hybrid,3.0,20,0.05,19.3,0.4918618476698216,0.655,0.3976858991409906,0.2573141008590094,0.24927706019420506,0.05,0.2005800291492781,57356.52835159973,4787.999999999994,8058583.328351588,9.814429854869516,1.2178852603460133e-06,0.8824017171903487,1.05,0.6,hybrid(sf=0.6)
hybrid,3.0,20,0.0,23.3,0.4078976726068467,0.775,0.3976858991409906,0.3773141008590094,0.24927706019420506,0.1,0.4011600582985562,26396.352383659007,8075.00000000001,13520528.852383675,9.02941113647232,6.678297302609158e-07,0.8861878046701849,1.05,0.85,hybrid(sf=0.85)
